metric,value,percent,ids
patients_with_no_tagged_notes,0,0.0,[]
patients_missing_summaries,0,0.0,[]
patients_dropped_noninformative_summary,0,0.0,[]
patients_exclusion_criteria_not_extracted,1,8.333333333333332,['-5']
patients_missing_keyword:Age,0,0.0,[]
patients_missing_keyword:Sex,0,0.0,[]
patients_missing_keyword:Cancer type,0,0.0,[]
patients_missing_keyword:Histology,0,0.0,[]
patients_missing_keyword:Current extent,0,0.0,[]
patients_missing_keyword:Biomarkers,0,0.0,[]
patients_missing_keyword:Treatment history,0,0.0,[]
patient_summaries_excessive_length,0,0.0,[]
